id,manuscript_id,work_id,chapter,section,subsection,extract,page,settlement,repository,shelfmark,locus,provenance,dating,refs,rawtext,notes
19,19,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,FLORENCE,Biblioteca Laurenziana,XVI 7,,,s. xv,,"p. 21 [=CAc]: FLORENCE, Biblioteca Laurenziana, XVI 7. s. xv.",
20,20,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,FLORENCE,Biblioteca Laurenziana,XVI 9,,,s. xv,,"p. 21 [=CAc]: FLORENCE, Biblioteca Laurenziana, XVI 9. s. xv.",
21,21,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,FLORENCE,Biblioteca Laurenziana,Amiat. 3,,,s. x,,"p. 21 [=CAc]: FLORENCE, Biblioteca Laurenziana, Amiat. 3. s. x.",
22,22,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,GENEVA,Bibliothèque de l’université,21,,Murbach (Reichenau),s. viii-ix,,"p. 21 [=CAc]: GENEVA, Bibliothèque de l’université, 21. s. viii-ix, Murbach (Reichenau).",
23,23,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,GLASGOW,University library,Hunt. V 5 8,,,s. xii-xiii,,"p. 21 [=CAc]: GLASGOW, University library, Hunt. V 5 8. s. xii-xiii.",
24,24,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,GOTHA,Forschungsbibliothek,84,,,s. ix,,"p. 21 [=CAc]: GOTHA, Forschungsbibliothek, 84. s. ix.",
25,25,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,HEILIGENKREUZ,Stiftsbibliothek,237,,,s. xii,,"p. 21 [=CAc]: HEILIGENKREUZ, Stiftsbibliothek, 237. s. xii.",
26,26,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,KARLSRUHE,Landesbibliothek,Aug. 43,,Reichenau,s. ix1,,"p. 21 [=CAc]: KARLSRUHE, Landesbibliothek, Aug. 43. s. ix1, Reichenau.",
27,27,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,KARLSRUHE,Landesbibliothek,Aug. 77,,Reichenau,s. ix,,"p. 21 [=CAc]: KARLSRUHE, Landesbibliothek, Aug. 77. s. ix, Reichenau.",
28,28,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,KARLSRUHE,Landesbibliothek,Aug. 153,,Reichenau,s. ix,,"p. 21 [=CAc]: KARLSRUHE, Landesbibliothek, Aug. 153. s. ix, Reichenau.",
29,29,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,LAON,Bibliothèque publique,110,,Cuissy,s. xii,,"p. 21 [=CAc]: LAON, Bibliothèque publique, 110. s. xii, Cuissy.",
30,30,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,LIÈGE,Bibliothèque de l’université,145,,Couvent des Croisiers,s. xv,"M. Grandjean, Eibl de I’univ. de Liege: Cat. del MSS, 95.","p. 21 [=CAc]: LIÈGE, Bibliothèque de l’université, 145. s. xv, Couvent des Croisiers. M. Grandjean, Eibl de I’univ. de Liege: Cat. del MSS, 95.",
31,31,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,LISBON,Alcobaça,55,,,s. xiii,"G. Haenel, Cat. Librorum manu scriptorum, 1017. Not in my edition.","p. 21 [=CAc]: LISBON, Alcobaça, 55. s. xiii. G. Haenel, Cat. Librorum manu scriptorum, 1017. Not in my edition.",
32,32,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,LONDON,British Library,Addit. 6047,,,s. xv,,"p. 21 [=CAc]: LONDON, British Library, Addit. 6047. s. xv.",
33,33,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,LONDON,British Library,Addit. 10948,,Huisburg,s. xv,,"p. 21 [=CAc]: LONDON, British Library, Addit. 10948. s. xv, Huisburg.",
34,34,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,LONDON,British Library,Harley 649,,English,s. xii,,"p. 21 [=CAc]: LONDON, British Library, Harley 649. s. xii, English.",
35,35,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,LONDON,British Library,Harley 1915,,English,s. xiii1,,"p. 21 [=CAc]: LONDON, British Library, Harley 1915. s. xiii1, English.",
36,36,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,LONDON,British Library,Harley 3103,,Grimberg,s. xii-xiii,,"p. 21 [=CAc]: LONDON, British Library, Harley 3103. s. xii-xiii, Grimberg.",
37,37,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,LONDON,British Library,Harley 4980,,French,s. ix1,,"p. 21 [=CAc]: LONDON, British Library, Harley 4980. s. ix1, French.",
38,38,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,MADRID,Biblioteca nacional,47,,,s. xii1,,"p. 21 [=CAc]: MADRID, Biblioteca nacional, 47. s. xii1.",
39,39,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,MELK,Stiftsbibliothek,573 K 46,,,s. xiv-xv,,"p. 21 [=CAc]: MELK, Stiftsbibliothek, 573 K 46. s. xiv-xv.",
40,40,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,MONTE CASSINO,Archivio della Badia,38,,,c. 1000,,"p. 21 [=CAc]: MONTE CASSINO, Archivio della Badia, 38. c. 1000.",
41,41,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,MUNICH,Bayerische Staatsbibliothek,2545,,Alderspach,s. xii,"Cat. Clm, I, 2, 5.","p. 21 [=CAc]: MUNICH, Bayerische Staatsbibliothek, 2545. s. xii, Alderspach. Cat. Clm, I, 2, 5.",
42,42,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,MUNICH,Bayerische Staatsbibliothek,5257,,Chiemsee,s. xi,"Cat. Clm, I, 3, 2.","p. 21 [=CAc]: MUNICH, Bayerische Staatsbibliothek, 5257. s. xi, Chiemsee. Cat. Clm, I, 3, 2.",
43,43,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,MUNICH,Bayerische Staatsbibliothek,6284,,Freising,s. x,"Cat. Clm, I, 3, 84.","p. 21 [=CAc]: MUNICH, Bayerische Staatsbibliothek, 6284. s. x, Freising. Cat. Clm, I, 3, 84.",
44,44,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,MUNICH,Bayerische Staatsbibliothek,13101,,Regensburg,s. xii et xiii,,"p. 21 [=CAc]: MUNICH, Bayerische Staatsbibliothek, 13101. s. xii et xiii, Regensburg.",
45,45,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,MUNICH,Bayerische Staatsbibliothek,14478,,St Emmeram,s. ix1,,"p. 21 [=CAc]: MUNICH, Bayerische Staatsbibliothek, 14478. s. ix1, St Emmeram.",
46,46,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,MUNICH,Bayerische Staatsbibliothek,14495,,St Emmeram,s. x et xii,"Cat. Clm II, 2, 181.","p. 22 [=CAc]: MUNICH, Bayerische Staatsbibliothek, 14495. s. x et xii, St Emmeram. Cat. Clm II, 2, 181.",
47,47,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,MUNICH,Bayerische Staatsbibliothek,17068,,Scheftlarn,s. xii,"Cat. Clm II, 3, 79","p. 22 [=CAc]: MUNICH, Bayerische Staatsbibliothek, 17068. s. xii, Scheftlarn. Cat. Clm II, 3, 79",
48,48,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,MUNICH,Bayerische Staatsbibliothek,18088,,Tegernsee,s. xv2,"Cat. Clm 11,3, 131.","p. 22 [=CAc]: MUNICH, Bayerische Staatsbibliothek, 18088. s. xv2, Tegernsee. Cat. Clm 11,3, 131.",
49,49,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,MUNICH,Bayerische Staatsbibliothek,18575,,Tegernsee,,"Cat. Clm II, 3, 183.","p. 22 [=CAc]: MUNICH, Bayerische Staatsbibliothek, 18575. , Tegernsee. Cat. Clm II, 3, 183.",
50,50,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,ORLÉANS,Bibliothèque publique,81,,,,,"p. 22 [=CAc]: ORLÉANS, Bibliothèque publique, 81.., .",
51,51,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,PARIS,Bibliothèque nationale,Nouv. acq. 1630,,Fleury,s. ix1,,"p. 22 [=CAc]: PARIS, Bibliothèque nationale, Nouv. acq. 1630. s. ix1, Fleury.",
52,52,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,OXFORD,Bodleian Library,Auct. F 6 I,,,c. 1500,,"p. 22 [=CAc]: OXFORD, Bodleian Library, Auct. F 6 I. c. 1500.",
53,53,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,OXFORD,Bodleian Library,Bodl. 160,,,s. xii2,,"p. 22 [=CAc]: OXFORD, Bodleian Library, Bodl. 160. s. xii2.",
54,54,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,OXFORD,Bodleian Library,"Script, eccles. 222",,,s. xi in.,,"p. 22 [=CAc]: OXFORD, Bodleian Library, Script, eccles. 222. s. xi in.",
55,55,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,OXFORD,Bodleian Library,Tanner 6,,,s. xii2,,"p. 22 [=CAc]: OXFORD, Bodleian Library, Tanner 6. s. xii2.",
56,56,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,OXFORD,Balliol College,177,,,s. xii2,,"p. 22 [=CAc]: OXFORD, Balliol College, 177. s. xii2.",
57,57,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,OXFORD,Jesus College,65,,,s. xii1,,"p. 22 [=CAc]: OXFORD, Jesus College, 65. s. xii1.",
58,58,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,OXFORD,Jesus College,68,,Cirencester,s. xii,,"p. 22 [=CAc]: OXFORD, Jesus College, 68. s. xii, Cirencester.",
59,59,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,OXFORD,Merton College,K 3 3,,,s. xv,,"p. 22 [=CAc]: OXFORD, Merton College, K 3 3. s. xv.",
60,60,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,OXFORD,New College,57,,,s. xv,,"p. 22 [=CAc]: OXFORD, New College, 57. s. xv.",
61,61,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,PARIS,Bibliothèque de I’Arsenal,321,,,s. xii,,"p. 22 [=CAc]: PARIS, Bibliothèque de I’Arsenal, 321. s. xii.",
62,62,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,PARIS,Bibliothèque Mazarine,691,,,s. xii,,"p. 22 [=CAc]: PARIS, Bibliothèque Mazarine, 691. s. xii.",
63,63,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,PARIS,Bibliothèque nationale,lat. 2352,,Beauprés,s. xii,,"p. 22 [=CAc]: PARIS, Bibliothèque nationale, lat. 2352. s. xii, Beauprés.",
64,64,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,PARIS,Bibliothèque nationale,lat. 2359,,St Martin des Champs,s. xi,,"p. 22 [=CAc]: PARIS, Bibliothèque nationale, lat. 2359. s. xi, St Martin des Champs.",
65,65,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,PARIS,Bibliothèque nationale,lat. 2360,,,s. xii2,,"p. 22 [=CAc]: PARIS, Bibliothèque nationale, lat. 2360. s. xii2.",
66,66,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,PARIS,Bibliothèque nationale,lat. 3361,,,s. xii2,,"p. 22 [=CAc]: PARIS, Bibliothèque nationale, lat. 3361. s. xii2.",
67,67,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,PARIS,Bibliothèque nationale,lat. 2371,,S. French,s. xiii-xiv,,"p. 22 [=CAc]: PARIS, Bibliothèque nationale, lat. 2371. s. xiii-xiv, S. French.",
68,68,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,PARIS,Bibliothèque nationale,lat. 12283,,Corbie,s. ix1,,"p. 22 [=CAc]: PARIS, Bibliothèque nationale, lat. 12283. s. ix1, Corbie.",
69,69,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,PARIS,Bibliothèque nationale,lat. 12284,,Corbie,s. ix1,,"p. 22 [=CAc]: PARIS, Bibliothèque nationale, lat. 12284. s. ix1, Corbie.",
70,70,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,PARIS,Bibliothèque nationale,lat. 14440,,St Victor,s. xii,,"p. 22 [=CAc]: PARIS, Bibliothèque nationale, lat. 14440. s. xii, St Victor.",
71,71,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,PARIS,Ste Geneviève,76,,,s. xii2,,"p. 22 [=CAc]: PARIS, Ste Geneviève, 76. s. xii2.",
72,72,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,PRAGUE,University Library,551,,,s. xv,"Joseph Truhlár, Cat. codd. mss. latin qui in bibl. publ. atque universitatis pragensis asservantur I, 226.","p. 22 [=CAc]: PRAGUE, University Library, 551. s. xv. Joseph Truhlár, Cat. codd. mss. latin qui in bibl. publ. atque universitatis pragensis asservantur I, 226.",
73,73,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,PRAGUE,University Library,1758,,,s. xv,"Truhlár, op. at., II, 21.","p. 22 [=CAc]: PRAGUE, University Library, 1758. s. xv. Truhlár, op. at., II, 21.",
74,74,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,PRINCETON,University library,Garrett 71,,Waverley,c. 1200,Formerly in Baltimore,"p. 22 [=CAc]: PRINCETON, University library, Garrett 71. c. 1200, Waverley. Formerly in Baltimore",
75,75,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,REIMS,Bibliothèque publique,6,,St Thierry,s. x2,,"p. 22 [=CAc]: REIMS, Bibliothèque publique, 6. s. x2, St Thierry.",
76,76,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,ROUEN,Bibliothèque publique,532,,Fécamp,s. xi,,"p. 22 [=CAc]: ROUEN, Bibliothèque publique, 532. s. xi, Fécamp.",
77,77,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,ST GALL,Stiftsbibliothek,259,,St Gall,s. viii ex.,,"p. 22 [=CAc]: ST GALL, Stiftsbibliothek, 259. s. viii ex., St Gall.",
78,78,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,ST GALL,Stiftsbibliothek,260,,St Gall,s. ix2,,"p. 22 [=CAc]: ST GALL, Stiftsbibliothek, 260. s. ix2, St Gall.",
79,79,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,ST OMER,Bibliothèque publique,218,,Clairmarais,s. xiii1,,"p. 22 [=CAc]: ST OMER, Bibliothèque publique, 218. s. xiii1, Clairmarais.",
80,80,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,22,SALZBURG,Stiftsbibliothek St Peter,A V 38,,Salzburg?,s. ix-x,,"p. 22 [=CAc]: SALZBURG, Stiftsbibliothek St Peter, A V 38. s. ix-x, Salzburg?.",
81,81,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,23,STUTTGART,Landesbibliothek,H. B. VII Patres 41,,Constance,s. ix1,,"p. 23 [=CAc]: STUTTGART, Landesbibliothek, H. B. VII Patres 41. s. ix1, Constance.",
82,82,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,23,STUTTGART,Landesbibliothek,Cod. theol. 4° 243,,Zwiefalten,s. xii,,"p. 23 [=CAc]: STUTTGART, Landesbibliothek, Cod. theol. 4° 243. s. xii, Zwiefalten.",
83,83,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,23,TOULOUSE,Bibliothèque publique,166,,,s. xii,"CG VII (1887), 88.","p. 23 [=CAc]: TOULOUSE, Bibliothèque publique, 166. s. xii. CG VII (1887), 88.",
84,84,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,23,TRIER,Seminarbibliothek,57,,,s. ix2,,"p. 23 [=CAc]: TRIER, Seminarbibliothek, 57. s. ix2.",
85,85,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,23,TRIER,Stadtbibliothek,182,,,s. xv,"Max Keuffer, Beschreibendes Verzeichniss der HSS der Stadtbibl. zu Trier, 101.","p. 23 [=CAc]: TRIER, Stadtbibliothek, 182. s. xv. Max Keuffer, Beschreibendes Verzeichniss der HSS der Stadtbibl. zu Trier, 101.",
86,86,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,23,TRIER,Stadtbibliothek,186,,,s. xv,"Keuffer, op, tit., 104.","p. 23 [=CAc]: TRIER, Stadtbibliothek, 186. s. xv. Keuffer, op, tit., 104.",
87,87,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,23,TROYES,Bibliothèque publique,572,,Clairvaux,s. xii,,"p. 23 [=CAc]: TROYES, Bibliothèque publique, 572. s. xii, Clairvaux.",
88,88,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,23,UTRECHT,Universiteitsbibliotheek,77,,,s. xv,,"p. 23 [=CAc]: UTRECHT, Universiteitsbibliotheek, 77. s. xv.",
89,89,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,23,VALENCIENNES,Bibliothèque publique,52,,St Amand,s. xii,,"p. 23 [=CAc]: VALENCIENNES, Bibliothèque publique, 52. s. xii, St Amand.",
90,90,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,23,VATICAN CITY,Biblioteca Apostolica Vaticana,Pal. 287,,Schönau,s. xii,,"p. 23 [=CAc]: VATICAN CITY, Biblioteca Apostolica Vaticana, Pal. 287. s. xii, Schönau.",
91,91,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,23,VATICAN CITY,Biblioteca Apostolica Vaticana,Urbin. 101,,,s. xv,"Stornajolo 1, 120.","p. 23 [=CAc]: VATICAN CITY, Biblioteca Apostolica Vaticana, Urbin. 101. s. xv. Stornajolo 1, 120.",
92,92,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,23,VIENNA,Nationalbibliothek,934,,Salzburg,s. ix1,,"p. 23 [=CAc]: VIENNA, Nationalbibliothek, 934. s. ix1, Salzburg.",
93,93,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,23,VIENNA,Nationalbibliothek,2206,,Salzburg,s. xii,"Tabulae II, 246.","p. 23 [=CAc]: VIENNA, Nationalbibliothek, 2206. s. xii, Salzburg. Tabulae II, 246.",
94,94,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,23,VIENNA,Nationalbibliothek,3870,,,s. xv,"Tabulae III, 107.","p. 23 [=CAc]: VIENNA, Nationalbibliothek, 3870. s. xv. Tabulae III, 107.",
95,95,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,Untraced,23,LONDON,Kensington Palace,47,,,s. xv,"This MS was omitted in my edition. It is recorded in T. J. Pettigrew, Bibliotheca Sussexiana: A descriptive cat. I, I, cxviii. The library seems to have been sold after the death of the Duke of Sussex in 1843, but I have no further information about this MS, which also contained the Commentary on Luke.","p. 23 [=CAc]: LONDON, Kensington Palace, 47. s. xv. This MS was omitted in my edition. It is recorded in T. J. Pettigrew, Bibliotheca Sussexiana: A descriptive cat. I, I, cxviii. The library seems to have been sold after the death of the Duke of Sussex in 1843, but I have no further information about this MS, which also contained the Commentary on Luke.",
96,2,3,Biblical Commentaries,Commentary on Acts,Manuscripts of the Retraction,,23,ALTENBURG,Stiftsbibliothek,205,,,c. 1200,,"p. 23 [=CAcR]: ALTENBURG, Stiftsbibliothek, 205. c. 1200.",
97,5,3,Biblical Commentaries,Commentary on Acts,Manuscripts of the Retraction,,23,BERLIN,Staatsbibliothek Preußischer Kulturbesitz,45 (Phillipps 1665),,Montdieu,s. xii-xiii,,"p. 23 [=CAcR]: BERLIN, Staatsbibliothek Preußischer Kulturbesitz, 45 (Phillipps 1665). s. xii-xiii, Montdieu.",
98,8,3,Biblical Commentaries,Commentary on Acts,Manuscripts of the Retraction,,23,BRUGES,Bibliothèque publique,77,,Ste Marie de Thosan,s. xii,,"p. 23 [=CAcR]: BRUGES, Bibliothèque publique, 77. s. xii, Ste Marie de Thosan.",
99,10,3,Biblical Commentaries,Commentary on Acts,Manuscripts of the Retraction,,23,BRUSSELS,Bibliothèque royale,1362 (Phillipps 2068),,Tournai,s. xii,,"p. 23 [=CAcR]: BRUSSELS, Bibliothèque royale, 1362 (Phillipps 2068). s. xii, Tournai.",
100,100,3,Biblical Commentaries,Commentary on Acts,Manuscripts of the Retraction,,23,BRUSSELS,Bibliothèque royale,1365 (Phillipps 23062),,,s. xiii,,"p. 23 [=CAcR]: BRUSSELS, Bibliothèque royale, 1365 (Phillipps 23062). s. xiii.",
101,13,3,Biblical Commentaries,Commentary on Acts,Manuscripts of the Retraction,,23,COPENHAGEN,Kongelige Bibliothek,S 1854,,English,s. xii,,"p. 23 [=CAcR]: COPENHAGEN, Kongelige Bibliothek, S 1854. s. xii, English.",
102,15,3,Biblical Commentaries,Commentary on Acts,Manuscripts of the Retraction,,23,DOUAI,Bibliothèque publique,334,,Anchin,s. xii2,,"p. 23 [=CAcR]: DOUAI, Bibliothèque publique, 334. s. xii2, Anchin.",
103,23,3,Biblical Commentaries,Commentary on Acts,Manuscripts of the Retraction,,23,GLASGOW,University library,Hunt. V 5 8,,,s. xii-xiii,,"p. 23 [=CAcR]: GLASGOW, University library, Hunt. V 5 8. s. xii-xiii.",
